,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record
0,0.29404060248853964,0.7059748427672956,0.41516412390198804,0.1,0.12180495514513845,0.500172605577078,0.19590257152171528,-55,01-02-0002
0,0.2971887550200803,0.6981132075471698,0.41690140845070417,0.1,0.11359876247989144,0.47694214399631074,0.18349291890982816,-55,01-02-0003
0,0.16678805535324107,0.5599022004889975,0.2570145903479237,0.1,0.05599681625543299,0.36821121280210445,0.09721011491592003,-55,01-02-0001
0,0.3132530120481928,0.687603305785124,0.4304190377651319,0.1,0.1125205669626024,0.4552238805970149,0.18044051107805312,-55,01-02-0004
1,0.2848249027237354,0.5754716981132075,0.38105153565851113,0.2,0.13422545467423036,0.4652218940585325,0.2083406337067689,-60,01-02-0002
1,0.27131072410632445,0.5584905660377358,0.365206662553979,0.2,0.11914902506600096,0.4383682723901389,0.1873705175192748,-60,01-02-0003
1,0.13544415127528583,0.3765281173594132,0.19922380336351878,0.2,0.05832600005028537,0.3178330684496082,0.098564320888515,-60,01-02-0001
1,0.3030821917808219,0.5851239669421487,0.3993231810490694,0.2,0.12122826348703654,0.43197774195225963,0.189325173649692,-60,01-02-0004
2,0.25933609958506226,0.39308176100628933,0.31250000000000006,0.3,0.16046629319273137,0.4183805761190595,0.2319645617967492,-70,01-02-0002
2,0.20023980815347722,0.3150943396226415,0.24486803519061584,0.3,0.1287000624541031,0.3603270372576523,0.18965865992414666,-70,01-02-0003
2,0.07334963325183375,0.1466992665036675,0.097799511002445,0.3,0.05927162611025151,0.23250397325587768,0.0944622415439038,-70,01-02-0001
2,0.1755379388448471,0.256198347107438,0.20833333333333334,0.3,0.13475859760689482,0.36293272314386255,0.19654071814128138,-70,01-02-0004
3,0.10428015564202335,0.21069182389937108,0.13951067152524727,0.4,0.13422545467423036,0.4652218940585325,0.2083406337067689,-60,01-02-0002
3,0.07149404216315307,0.1471698113207547,0.09623689080814313,0.4,0.11914902506600096,0.4383682723901389,0.1873705175192748,-60,01-02-0003
