,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record
0,0.80125,0.5608048993875766,0.6598044261451366,0.1,0.6052534346930541,0.5835558103349439,0.5942066147576014,150,01-02-0002
0,0.6590909090909091,0.5,0.5686274509803921,0.1,0.3997733022420545,0.5329382743020472,0.45684968251026603,150,01-02-0001
0,0.5367647058823529,0.5770750988142292,0.5561904761904761,0.1,0.38425683591315835,0.5737039931524692,0.4602477981788326,150,01-02-0004
0,0.2882882882882883,0.22377622377622378,0.25196850393700787,0.1,0.15104957153197748,0.2559851212852677,0.18999089547416956,150,01-02-0003
1,0.8,0.5599300087489064,0.6587750900669069,0.2,0.6052534346930541,0.5835558103349439,0.5942066147576014,150,01-02-0002
1,0.6590909090909091,0.5,0.5686274509803921,0.2,0.3997733022420545,0.5329382743020472,0.45684968251026603,150,01-02-0001
1,0.5330882352941176,0.5731225296442688,0.5523809523809524,0.2,0.38425683591315835,0.5737039931524692,0.4602477981788326,150,01-02-0004
1,0.2882882882882883,0.22377622377622378,0.25196850393700787,0.2,0.15104957153197748,0.2559851212852677,0.18999089547416956,150,01-02-0003
2,0.79375,0.5555555555555556,0.6536284096757591,0.3,0.6052534346930541,0.5835558103349439,0.5942066147576014,150,01-02-0002
2,0.6565656565656566,0.49808429118773945,0.5664488017429193,0.3,0.3997733022420545,0.5329382743020472,0.45684968251026603,150,01-02-0001
2,0.5220588235294118,0.5612648221343873,0.540952380952381,0.3,0.38425683591315835,0.5737039931524692,0.4602477981788326,150,01-02-0004
2,0.2882882882882883,0.22377622377622378,0.25196850393700787,0.3,0.15104957153197748,0.2559851212852677,0.18999089547416956,150,01-02-0003
3,0.78625,0.5503062117235346,0.6474523932063819,0.4,0.6052534346930541,0.5835558103349439,0.5942066147576014,150,01-02-0002
3,0.6527777777777778,0.4952107279693487,0.5631808278867103,0.4,0.3997733022420545,0.5329382743020472,0.45684968251026603,150,01-02-0001
3,0.49264705882352944,0.5296442687747036,0.5104761904761905,0.4,0.38425683591315835,0.5737039931524692,0.4602477981788326,150,01-02-0004
3,0.2882882882882883,0.22377622377622378,0.25196850393700787,0.4,0.15104957153197748,0.2559851212852677,0.18999089547416956,150,01-02-0003
4,0.7625,0.5336832895888014,0.6278950077200205,0.5,0.6052534346930541,0.5835558103349439,0.5942066147576014,150,01-02-0002
4,0.63510101010101,0.4818007662835249,0.5479302832244008,0.5,0.3997733022420545,0.5329382743020472,0.45684968251026603,150,01-02-0001
4,0.4632352941176471,0.4980237154150198,0.48,0.5,0.38425683591315835,0.5737039931524692,0.4602477981788326,150,01-02-0004
