,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record
0,0.029850746268656716,0.008333333333333333,0.013029315960912051,0.1,0.01398718891105744,0.00992489270386266,0.011610979872558163,50,5085
0,0.07966353290450272,0.46131805157593125,0.13586497890295357,0.1,0.02375467498220248,0.47040281948822316,0.045225525111703684,50,5105
0,0.19055374592833876,0.271461716937355,0.22392344497607655,0.1,0.06523207545196942,0.2594465561553369,0.10425224008796585,50,4993
0,0.16170212765957448,0.11987381703470032,0.13768115942028986,0.1,0.051606550202414385,0.15087968722232095,0.07690774693818393,50,4828
0,0.02157164869029276,0.1,0.035487959442332066,0.1,0.009333675853548143,0.13716442953020133,0.017478018852437115,50,5014
0,0.256244616709733,0.7579617834394905,0.38300611522368844,0.1,0.10203857728567839,0.773340317967139,0.1802888925720123,50,4807
1,0.029850746268656716,0.008333333333333333,0.013029315960912051,0.2,0.01398718891105744,0.00992489270386266,0.011610979872558163,50,5085
1,0.06432459178624443,0.37249283667621774,0.10970464135021096,0.2,0.02375467498220248,0.47040281948822316,0.045225525111703684,50,5105
1,0.1750814332247557,0.2494199535962877,0.20574162679425836,0.2,0.06523207545196942,0.2594465561553369,0.10425224008796585,50,4993
1,0.15319148936170213,0.11356466876971609,0.13043478260869565,0.2,0.051606550202414385,0.15087968722232095,0.07690774693818393,50,4828
1,0.01848998459167951,0.08571428571428572,0.030418250950570346,0.2,0.009333675853548143,0.13716442953020133,0.017478018852437115,50,5014
1,0.22566752799310938,0.6675159235668789,0.3373028644995172,0.2,0.10203857728567839,0.773340317967139,0.1802888925720123,50,4807
2,0.029850746268656716,0.008333333333333333,0.013029315960912051,0.3,0.01398718891105744,0.00992489270386266,0.011610979872558163,50,5085
2,0.047996041563582385,0.27793696275071633,0.08185654008438818,0.3,0.02375467498220248,0.47040281948822316,0.045225525111703684,50,5105
2,0.1498371335504886,0.21345707656612528,0.17607655502392344,0.3,0.06523207545196942,0.2594465561553369,0.10425224008796585,50,4993
2,0.12340425531914893,0.0914826498422713,0.10507246376811595,0.3,0.051606550202414385,0.15087968722232095,0.07690774693818393,50,4828
2,0.015408320493066256,0.07142857142857142,0.025348542458808618,0.3,0.009333675853548143,0.13716442953020133,0.017478018852437115,50,5014
2,0.1843238587424634,0.5452229299363057,0.2755069198583843,0.3,0.10203857728567839,0.773340317967139,0.1802888925720123,50,4807
3,0.029850746268656716,0.008333333333333333,0.013029315960912051,0.4,0.01398718891105744,0.00992489270386266,0.011610979872558163,50,5085
3,0.031172686788718457,0.18051575931232092,0.053164556962025315,0.4,0.02375467498220248,0.47040281948822316,0.045225525111703684,50,5105
3,0.11563517915309446,0.16473317865429235,0.13588516746411486,0.4,0.06523207545196942,0.2594465561553369,0.10425224008796585,50,4993
3,0.09361702127659574,0.0694006309148265,0.07971014492753624,0.4,0.051606550202414385,0.15087968722232095,0.07690774693818393,50,4828
3,0.015408320493066256,0.07142857142857142,0.025348542458808618,0.4,0.009333675853548143,0.13716442953020133,0.017478018852437115,50,5014
3,0.13910422049956933,0.41146496815286626,0.20791760540714516,0.4,0.10203857728567839,0.773340317967139,0.1802888925720123,50,4807
4,0.022388059701492536,0.00625,0.00977198697068404,0.5,0.01398718891105744,0.00992489270386266,0.011610979872558163,50,5085
4,0.014844136566056407,0.08595988538681948,0.02531645569620253,0.5,0.02375467498220248,0.47040281948822316,0.045225525111703684,50,5105
4,0.08224755700325732,0.11716937354988399,0.09665071770334929,0.5,0.06523207545196942,0.2594465561553369,0.10425224008796585,50,4993
4,0.05531914893617021,0.04100946372239748,0.04710144927536232,0.5,0.051606550202414385,0.15087968722232095,0.07690774693818393,50,4828
4,0.012326656394453005,0.05714285714285714,0.020278833967046894,0.5,0.009333675853548143,0.13716442953020133,0.017478018852437115,50,5014
4,0.09043927648578812,0.267515923566879,0.13517862890247828,0.5,0.10203857728567839,0.773340317967139,0.1802888925720123,50,4807
5,0.022388059701492536,0.00625,0.00977198697068404,0.6,0.01398718891105744,0.00992489270386266,0.011610979872558163,50,5085
5,0.005937654626422563,0.034383954154727794,0.010126582278481013,0.6,0.02375467498220248,0.47040281948822316,0.045225525111703684,50,5105
5,0.050488599348534204,0.07192575406032482,0.05933014354066985,0.6,0.06523207545196942,0.2594465561553369,0.10425224008796585,50,4993
5,0.029787234042553193,0.022082018927444796,0.025362318840579712,0.6,0.051606550202414385,0.15087968722232095,0.07690774693818393,50,4828
5,0.007704160246533128,0.03571428571428571,0.012674271229404309,0.6,0.009333675853548143,0.13716442953020133,0.017478018852437115,50,5014
5,0.05469422911283377,0.16178343949044585,0.08175088509816544,0.6,0.10203857728567839,0.773340317967139,0.1802888925720123,50,4807
6,0.014925373134328358,0.004166666666666667,0.0065146579804560255,0.7,0.01398718891105744,0.00992489270386266,0.011610979872558163,50,5085
6,0.0034636318654131617,0.02005730659025788,0.00590717299578059,0.7,0.02375467498220248,0.47040281948822316,0.045225525111703684,50,5105
6,0.029315960912052116,0.04176334106728538,0.03444976076555024,0.7,0.06523207545196942,0.2594465561553369,0.10425224008796585,50,4993
6,0.01702127659574468,0.012618296529968454,0.014492753623188404,0.7,0.051606550202414385,0.15087968722232095,0.07690774693818393,50,4828
