,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record,evaluation,gold_standard
0,0.0,0.0,,0.1,0.029643096716025486,0.9996768276307824,0.057578826923094566,0,01-02-0001,record,E1
1,0.0,0.0,,0.2,0.029643096716025486,0.9996768276307824,0.057578826923094566,0,01-02-0001,record,E1
2,0.0,0.0,,0.3,0.029643096716025486,0.9996768276307824,0.057578826923094566,0,01-02-0001,record,E1
3,0.0,0.0,,0.4,0.029643096716025486,0.9996768276307824,0.057578826923094566,0,01-02-0001,record,E1
4,0.0,0.0,,0.5,0.029643096716025486,0.9996768276307824,0.057578826923094566,0,01-02-0001,record,E1
5,0.0,0.0,,0.6,0.029643096716025486,0.9996768276307824,0.057578826923094566,0,01-02-0001,record,E1
6,0.0,0.0,,0.7,0.029643096716025486,0.9996768276307824,0.057578826923094566,0,01-02-0001,record,E1
7,0.0,0.0,,0.8,0.029643096716025486,0.9996768276307824,0.057578826923094566,0,01-02-0001,record,E1
8,0.0,0.0,,0.9,0.029643096716025486,0.9996768276307824,0.057578826923094566,0,01-02-0001,record,E1
0,0.12853049529267294,0.6015325670498084,0.21180438448566608,0.1,0.04179318928341701,0.9995994483311106,0.08023188842086844,25,01-02-0001,record,E1
1,0.0659025787965616,0.30842911877394635,0.10860033726812816,0.2,0.04179318928341701,0.9995994483311106,0.08023188842086844,25,01-02-0001,record,E1
2,0.02885796152271797,0.13505747126436782,0.04755480607082631,0.3,0.04179318928341701,0.9995994483311106,0.08023188842086844,25,01-02-0001,record,E1
3,0.006958657388456815,0.032567049808429116,0.011467116357504215,0.4,0.04179318928341701,0.9995994483311106,0.08023188842086844,25,01-02-0001,record,E1
4,0.0008186655751125665,0.0038314176245210726,0.001349072512647555,0.5,0.04179318928341701,0.9995994483311106,0.08023188842086844,25,01-02-0001,record,E1
5,0.0,0.0,,0.6,0.04179318928341701,0.9995994483311106,0.08023188842086844,25,01-02-0001,record,E1
6,0.0,0.0,,0.7,0.04179318928341701,0.9995994483311106,0.08023188842086844,25,01-02-0001,record,E1
7,0.0,0.0,,0.8,0.04179318928341701,0.9995994483311106,0.08023188842086844,25,01-02-0001,record,E1
8,0.0,0.0,,0.9,0.04179318928341701,0.9995994483311106,0.08023188842086844,25,01-02-0001,record,E1
0,0.21847133757961784,0.985632183908046,0.35766423357664234,0.1,0.0923283429459992,0.9978060692681284,0.16901728800556673,50,01-02-0001,record,E1
1,0.20148619957537156,0.9090038314176245,0.32985749044143203,0.2,0.0923283429459992,0.9978060692681284,0.16901728800556673,50,01-02-0001,record,E1
2,0.16496815286624203,0.7442528735632183,0.27007299270072993,0.3,0.0923283429459992,0.9978060692681284,0.16901728800556673,50,01-02-0001,record,E1
3,0.1059447983014862,0.4779693486590038,0.17344456030587418,0.4,0.0923283429459992,0.9978060692681284,0.16901728800556673,50,01-02-0001,record,E1
4,0.03779193205944798,0.17049808429118773,0.061870003475842886,0.5,0.0923283429459992,0.9978060692681284,0.16901728800556673,50,01-02-0001,record,E1
5,0.005095541401273885,0.022988505747126436,0.008342022940563087,0.6,0.0923283429459992,0.9978060692681284,0.16901728800556673,50,01-02-0001,record,E1
6,0.0,0.0,,0.7,0.0923283429459992,0.9978060692681284,0.16901728800556673,50,01-02-0001,record,E1
7,0.0,0.0,,0.8,0.0923283429459992,0.9978060692681284,0.16901728800556673,50,01-02-0001,record,E1
8,0.0,0.0,,0.9,0.0923283429459992,0.9978060692681284,0.16901728800556673,50,01-02-0001,record,E1
0,0.32722678458622867,0.9923371647509579,0.49216152019002374,0.1,0.1707837956329179,0.9911651046668821,0.2913638261204654,75,01-02-0001,record,E1
1,0.32122552116235,0.9741379310344828,0.4831353919239906,0.2,0.1707837956329179,0.9911651046668821,0.2913638261204654,75,01-02-0001,record,E1
2,0.3035375868603917,0.9204980842911877,0.45653206650831357,0.3,0.1707837956329179,0.9911651046668821,0.2913638261204654,75,01-02-0001,record,E1
3,0.2605811749842072,0.7902298850574713,0.3919239904988123,0.4,0.1707837956329179,0.9911651046668821,0.2913638261204654,75,01-02-0001,record,E1
4,0.18477574226152874,0.5603448275862069,0.27790973871733965,0.5,0.1707837956329179,0.9911651046668821,0.2913638261204654,75,01-02-0001,record,E1
5,0.0786481364497789,0.23850574712643677,0.1182897862232779,0.6,0.1707837956329179,0.9911651046668821,0.2913638261204654,75,01-02-0001,record,E1
6,0.01737207833228048,0.05268199233716475,0.026128266033254154,0.7,0.1707837956329179,0.9911651046668821,0.2913638261204654,75,01-02-0001,record,E1
7,0.0015792798483891346,0.004789272030651341,0.0023752969121140144,0.8,0.1707837956329179,0.9911651046668821,0.2913638261204654,75,01-02-0001,record,E1
8,0.0003158559696778269,0.0009578544061302681,0.0004750593824228028,0.9,0.1707837956329179,0.9911651046668821,0.2913638261204654,75,01-02-0001,record,E1
0,0.4743777452415813,0.9310344827586207,0.6285160038797285,0.1,0.273703338172805,0.9379008361516088,0.42374662479666514,100,01-02-0001,record,E1
1,0.47340165934602246,0.9291187739463601,0.6272227610733915,0.2,0.273703338172805,0.9379008361516088,0.42374662479666514,100,01-02-0001,record,E1
2,0.4690092728160078,0.9204980842911877,0.6214031684448755,0.3,0.273703338172805,0.9379008361516088,0.42374662479666514,100,01-02-0001,record,E1
3,0.44460712542703756,0.8726053639846744,0.5890720982864532,0.4,0.273703338172805,0.9379008361516088,0.42374662479666514,100,01-02-0001,record,E1
4,0.39189848706686187,0.7691570881226054,0.5192369867442612,0.5,0.273703338172805,0.9379008361516088,0.42374662479666514,100,01-02-0001,record,E1
5,0.2816007808687164,0.5526819923371648,0.37310054962819267,0.6,0.273703338172805,0.9379008361516088,0.42374662479666514,100,01-02-0001,record,E1
6,0.1381161542215715,0.2710727969348659,0.18299385709666993,0.7,0.273703338172805,0.9379008361516088,0.42374662479666514,100,01-02-0001,record,E1
7,0.04001952171791118,0.07854406130268199,0.05302295505981248,0.8,0.273703338172805,0.9379008361516088,0.42374662479666514,100,01-02-0001,record,E1
8,0.00634455832113226,0.012452107279693486,0.008406078241189783,0.9,0.273703338172805,0.9379008361516088,0.42374662479666514,100,01-02-0001,record,E1
0,0.6114599686028257,0.7461685823754789,0.6721311475409836,0.1,0.3691686844229217,0.7703245834035057,0.49913364310814934,125,01-02-0001,record,E1
1,0.6114599686028257,0.7461685823754789,0.6721311475409836,0.2,0.3691686844229217,0.7703245834035057,0.49913364310814934,125,01-02-0001,record,E1
2,0.6083202511773941,0.7423371647509579,0.6686798964624677,0.3,0.3691686844229217,0.7703245834035057,0.49913364310814934,125,01-02-0001,record,E1
3,0.5989010989010989,0.7308429118773946,0.6583261432269197,0.4,0.3691686844229217,0.7703245834035057,0.49913364310814934,125,01-02-0001,record,E1
4,0.5675039246467818,0.6925287356321839,0.6238136324417602,0.5,0.3691686844229217,0.7703245834035057,0.49913364310814934,125,01-02-0001,record,E1
5,0.49607535321821034,0.6053639846743295,0.545297670405522,0.6,0.3691686844229217,0.7703245834035057,0.49913364310814934,125,01-02-0001,record,E1
6,0.34379905808477235,0.41954022988505746,0.37791199309749784,0.7,0.3691686844229217,0.7703245834035057,0.49913364310814934,125,01-02-0001,record,E1
7,0.16483516483516483,0.20114942528735633,0.181190681622088,0.8,0.3691686844229217,0.7703245834035057,0.49913364310814934,125,01-02-0001,record,E1
8,0.044740973312401885,0.05459770114942529,0.04918032786885246,0.9,0.3691686844229217,0.7703245834035057,0.49913364310814934,125,01-02-0001,record,E1
0,0.6590909090909091,0.5,0.5686274509803921,0.1,0.3997220998869964,0.5329294437338699,0.45681300330857116,150,01-02-0001,record,E1
1,0.6590909090909091,0.5,0.5686274509803921,0.2,0.3997220998869964,0.5329294437338699,0.45681300330857116,150,01-02-0001,record,E1
2,0.6565656565656566,0.49808429118773945,0.5664488017429193,0.3,0.3997220998869964,0.5329294437338699,0.45681300330857116,150,01-02-0001,record,E1
3,0.6527777777777778,0.4952107279693487,0.5631808278867103,0.4,0.3997220998869964,0.5329294437338699,0.45681300330857116,150,01-02-0001,record,E1
4,0.63510101010101,0.4818007662835249,0.5479302832244008,0.5,0.3997220998869964,0.5329294437338699,0.45681300330857116,150,01-02-0001,record,E1
5,0.5934343434343434,0.4501915708812261,0.5119825708061002,0.6,0.3997220998869964,0.5329294437338699,0.45681300330857116,150,01-02-0001,record,E1
6,0.49747474747474746,0.3773946360153257,0.42919389978213507,0.7,0.3997220998869964,0.5329294437338699,0.45681300330857116,150,01-02-0001,record,E1
7,0.2904040404040404,0.22030651340996169,0.25054466230936817,0.8,0.3997220998869964,0.5329294437338699,0.45681300330857116,150,01-02-0001,record,E1
8,0.07954545454545454,0.0603448275862069,0.06862745098039216,0.9,0.3997220998869964,0.5329294437338699,0.45681300330857116,150,01-02-0001,record,E1
0,0.6392156862745098,0.31226053639846746,0.41956241956241963,0.1,0.3739257232173622,0.3408285047133097,0.35661081848228826,175,01-02-0001,record,E1
1,0.6392156862745098,0.31226053639846746,0.41956241956241963,0.2,0.3739257232173622,0.3408285047133097,0.35661081848228826,175,01-02-0001,record,E1
2,0.6392156862745098,0.31226053639846746,0.41956241956241963,0.3,0.3739257232173622,0.3408285047133097,0.35661081848228826,175,01-02-0001,record,E1
3,0.6372549019607843,0.3113026819923372,0.41827541827541825,0.4,0.3739257232173622,0.3408285047133097,0.35661081848228826,175,01-02-0001,record,E1
4,0.6274509803921569,0.3065134099616858,0.4118404118404118,0.5,0.3739257232173622,0.3408285047133097,0.35661081848228826,175,01-02-0001,record,E1
5,0.6019607843137255,0.2940613026819923,0.395109395109395,0.6,0.3739257232173622,0.3408285047133097,0.35661081848228826,175,01-02-0001,record,E1
6,0.5294117647058824,0.25862068965517243,0.3474903474903475,0.7,0.3739257232173622,0.3408285047133097,0.35661081848228826,175,01-02-0001,record,E1
7,0.37058823529411766,0.1810344827586207,0.24324324324324326,0.8,0.3739257232173622,0.3408285047133097,0.35661081848228826,175,01-02-0001,record,E1
8,0.12549019607843137,0.06130268199233716,0.08236808236808237,0.9,0.3739257232173622,0.3408285047133097,0.35661081848228826,175,01-02-0001,record,E1
0,0.5520231213872833,0.18295019157088122,0.27482014388489207,0.1,0.2988079164659507,0.20046245510862687,0.23994922170826455,200,01-02-0001,record,E1
1,0.5520231213872833,0.18295019157088122,0.27482014388489207,0.2,0.2988079164659507,0.20046245510862687,0.23994922170826455,200,01-02-0001,record,E1
2,0.5520231213872833,0.18295019157088122,0.27482014388489207,0.3,0.2988079164659507,0.20046245510862687,0.23994922170826455,200,01-02-0001,record,E1
3,0.5491329479768786,0.18199233716475097,0.2733812949640288,0.4,0.2988079164659507,0.20046245510862687,0.23994922170826455,200,01-02-0001,record,E1
4,0.546242774566474,0.1810344827586207,0.2719424460431655,0.5,0.2988079164659507,0.20046245510862687,0.23994922170826455,200,01-02-0001,record,E1
5,0.5317919075144508,0.17624521072796934,0.2647482014388489,0.6,0.2988079164659507,0.20046245510862687,0.23994922170826455,200,01-02-0001,record,E1
6,0.4797687861271676,0.15900383141762453,0.2388489208633094,0.7,0.2988079164659507,0.20046245510862687,0.23994922170826455,200,01-02-0001,record,E1
7,0.34104046242774566,0.11302681992337164,0.16978417266187049,0.8,0.2988079164659507,0.20046245510862687,0.23994922170826455,200,01-02-0001,record,E1
8,0.11849710982658959,0.039272030651340994,0.05899280575539568,0.9,0.2988079164659507,0.20046245510862687,0.23994922170826455,200,01-02-0001,record,E1
0,0.3829787234042553,0.08620689655172414,0.14073494917904616,0.1,0.18539503227617177,0.09621433155664393,0.12668370725743378,225,01-02-0001,record,E1
1,0.3829787234042553,0.08620689655172414,0.14073494917904616,0.2,0.18539503227617177,0.09621433155664393,0.12668370725743378,225,01-02-0001,record,E1
2,0.3829787234042553,0.08620689655172414,0.14073494917904616,0.3,0.18539503227617177,0.09621433155664393,0.12668370725743378,225,01-02-0001,record,E1
3,0.3829787234042553,0.08620689655172414,0.14073494917904616,0.4,0.18539503227617177,0.09621433155664393,0.12668370725743378,225,01-02-0001,record,E1
4,0.37872340425531914,0.08524904214559387,0.13917122752150116,0.5,0.18539503227617177,0.09621433155664393,0.12668370725743378,225,01-02-0001,record,E1
5,0.3702127659574468,0.08333333333333333,0.13604378420641125,0.6,0.18539503227617177,0.09621433155664393,0.12668370725743378,225,01-02-0001,record,E1
6,0.33191489361702126,0.07471264367816093,0.12197028928850666,0.7,0.18539503227617177,0.09621433155664393,0.12668370725743378,225,01-02-0001,record,E1
7,0.22127659574468084,0.04980842911877394,0.08131352619233777,0.8,0.18539503227617177,0.09621433155664393,0.12668370725743378,225,01-02-0001,record,E1
8,0.07659574468085106,0.017241379310344827,0.02814698983580922,0.9,0.18539503227617177,0.09621433155664393,0.12668370725743378,225,01-02-0001,record,E1
0,0.24043715846994534,0.0421455938697318,0.07171964140179299,0.1,0.10811121804259592,0.0470420624769569,0.06555806820957015,250,01-02-0001,record,E1
1,0.24043715846994534,0.0421455938697318,0.07171964140179299,0.2,0.10811121804259592,0.0470420624769569,0.06555806820957015,250,01-02-0001,record,E1
2,0.24043715846994534,0.0421455938697318,0.07171964140179299,0.3,0.10811121804259592,0.0470420624769569,0.06555806820957015,250,01-02-0001,record,E1
3,0.24043715846994534,0.0421455938697318,0.07171964140179299,0.4,0.10811121804259592,0.0470420624769569,0.06555806820957015,250,01-02-0001,record,E1
4,0.24043715846994534,0.0421455938697318,0.07171964140179299,0.5,0.10811121804259592,0.0470420624769569,0.06555806820957015,250,01-02-0001,record,E1
5,0.22404371584699453,0.039272030651340994,0.06682966585167073,0.6,0.10811121804259592,0.0470420624769569,0.06555806820957015,250,01-02-0001,record,E1
6,0.18579234972677597,0.032567049808429116,0.05541972290138549,0.7,0.10811121804259592,0.0470420624769569,0.06555806820957015,250,01-02-0001,record,E1
7,0.12568306010928962,0.022030651340996167,0.037489812550937245,0.8,0.10811121804259592,0.0470420624769569,0.06555806820957015,250,01-02-0001,record,E1
8,0.04371584699453552,0.007662835249042145,0.013039934800325996,0.9,0.10811121804259592,0.0470420624769569,0.06555806820957015,250,01-02-0001,record,E1
0,0.0,0.0,,0.1,0.0272443177062116,0.999594601235033,0.05304293086502969,0,01-02-0002,record,E1
1,0.0,0.0,,0.2,0.0272443177062116,0.999594601235033,0.05304293086502969,0,01-02-0002,record,E1
2,0.0,0.0,,0.3,0.0272443177062116,0.999594601235033,0.05304293086502969,0,01-02-0002,record,E1
3,0.0,0.0,,0.4,0.0272443177062116,0.999594601235033,0.05304293086502969,0,01-02-0002,record,E1
4,0.0,0.0,,0.5,0.0272443177062116,0.999594601235033,0.05304293086502969,0,01-02-0002,record,E1
5,0.0,0.0,,0.6,0.0272443177062116,0.999594601235033,0.05304293086502969,0,01-02-0002,record,E1
6,0.0,0.0,,0.7,0.0272443177062116,0.999594601235033,0.05304293086502969,0,01-02-0002,record,E1
7,0.0,0.0,,0.8,0.0272443177062116,0.999594601235033,0.05304293086502969,0,01-02-0002,record,E1
8,0.0,0.0,,0.9,0.0272443177062116,0.999594601235033,0.05304293086502969,0,01-02-0002,record,E1
0,0.10164333536214243,0.584426946631671,0.17316915100453661,0.1,0.036135907689008956,0.9992956708325826,0.06974957469771526,25,01-02-0002,record,E1
1,0.04732197200243457,0.27209098862642167,0.08062216461438755,0.2,0.036135907689008956,0.9992956708325826,0.06974957469771526,25,01-02-0002,record,E1
2,0.017194157029823492,0.09886264216972879,0.02929358392741413,0.3,0.036135907689008956,0.9992956708325826,0.06974957469771526,25,01-02-0002,record,E1
3,0.0030432136335970784,0.017497812773403325,0.005184705119896306,0.4,0.036135907689008956,0.9992956708325826,0.06974957469771526,25,01-02-0002,record,E1
4,0.0007608034083992696,0.004374453193350831,0.0012961762799740765,0.5,0.036135907689008956,0.9992956708325826,0.06974957469771526,25,01-02-0002,record,E1
5,0.0,0.0,,0.6,0.036135907689008956,0.9992956708325826,0.06974957469771526,25,01-02-0002,record,E1
6,0.0,0.0,,0.7,0.036135907689008956,0.9992956708325826,0.06974957469771526,25,01-02-0002,record,E1
7,0.0,0.0,,0.8,0.036135907689008956,0.9992956708325826,0.06974957469771526,25,01-02-0002,record,E1
